Data,PIB - IGP-DI- 2021.11=1-0 - R$ - Banco Central do Brasil- Boletim- Seção Atividade Econômica (Bacen / Boletim / Ativ. Ec.) - BM12_PIB12,
1971.03,,3.84314376825204E-14,
1971.04,,3.91170535997407E-14,
1971.05,,3.99228741402948E-14,
1971.06,,4.06762952837006E-14,
1971.07,,4.11682428532155E-14,
1971.08,,4.16551788794558E-14,
1971.09,,4.22083674568837E-14,
1971.10,,4.26803481020596E-14,
1971.11,,4.30765384878992E-14,
1971.12,,4.36146301822809E-14,
1972.01,,4.44056639708212E-14,
1972.02,,4.52010770499522E-14,
1972.03,,4.58095393915352E-14,
1972.04,,4.62531084173514E-14,
1972.05,,4.67005515648179E-14,
1972.06,,4.72730968021194E-14,
1972.07,,4.79362371898838E-14,
1972.08,,4.85462385842727E-14,
1972.09,,4.90451223587644E-14,
1972.10,,4.94880691036783E-14,
1972.11,,4.98796212299029E-14,
1972.12,,5.04695657442328E-14,
1973.01,,5.11806141107791E-14,
1973.02,,5.18461284920034E-14,
1973.03,,5.25949531324433E-14,
1973.04,,5.32551595296122E-14,
1973.05,,5.3786015345594E-14,
1973.06,,5.43143178953315E-14,
1973.07,,5.48673989430166E-14,
1973.08,,5.54271311538779E-14,
1973.09,,5.61194890295005E-14,
1973.10,,5.68782139028433E-14,
1973.11,,5.75329733401452E-14,
1973.12,,5.86805449135161E-14,
1974.01,,6.03213854613871E-14,
1974.02,,6.24810178172645E-14,
1974.03,,6.54945425516393E-14,
1974.04,,6.83236807085155E-14,
1974.05,,7.01971560317883E-14,
1974.06,,7.13088256436527E-14,
1974.07,,7.21919850235245E-14,
1974.08,,7.325528677536E-14,
1974.09,,7.44131708642366E-14,
1974.10,,7.55564343275805E-14,
1974.11,,7.6978233318631E-14,
1974.12,,7.86835442898545E-14,
1975.01,,8.04563445333422E-14,
1975.02,,8.200206079369E-14,
1975.03,,8.33824465920204E-14,
1975.04,,8.50173847556674E-14,
1975.05,,8.68671346402417E-14,
1975.06,,8.87503370296042E-14,
1975.07,,9.09239150852064E-14,
1975.08,,9.32404119095934E-14,
1975.09,,9.53666517719907E-14,
1975.10,,9.74679631767025E-14,
1975.11,,9.95803792146504E-14,
1975.12,,1.02205133471095E-13,
1976.01,,1.05905301013945E-13,
1976.02,,1.10056356919986E-13,
1976.03,,1.14153755947815E-13,
1976.04,,1.18241592218434E-13,
1976.05,,1.21832906005758E-13,
1976.06,,1.25776882971933E-13,
1976.07,,1.30747061864363E-13,
1976.08,,1.35668308872962E-13,
1976.09,,1.39593274382481E-13,
1976.10,,1.42566710575507E-13,
1976.11,,1.45560584874704E-13,
1976.12,,1.49947421157628E-13,
1977.01,,1.55123731619934E-13,
1977.02,,1.60798990039948E-13,
1977.03,,1.67414371024327E-13,
1977.04,,1.73824340225635E-13,
1977.05,,1.78638250921692E-13,
1977.06,,1.82236900679089E-13,
1977.07,,1.8530038961377E-13,
1977.08,,1.8814385341372E-13,
1977.09,,1.92387054612448E-13,
1977.10,,1.97535074048252E-13,
1977.11,,2.02194343922856E-13,
1977.12,,2.07013367528627E-13,
1978.01,,2.13284314171826E-13,
1978.02,,2.20423881134454E-13,
1978.03,,2.27754203825195E-13,
1978.04,,2.35230370189985E-13,
1978.05,,2.43274570582277E-13,
1978.06,,2.51122051426318E-13,
1978.07,,2.5801416293834E-13,
1978.08,,2.64748816033083E-13,
1978.09,,2.71928179662798E-13,
1978.10,,2.79569449756274E-13,
1978.11,,2.85531810289268E-13,
1978.12,,2.92934385450343E-13,
1979.01,,3.03809599169254E-13,
