Data,PIB - IPCA- 2020.12=1-0 - R$ - Banco Central do Brasil- Boletim- Seção Atividade Econômica (Bacen / Boletim / Ativ. Ec.) - BM12_PIB12,
2010.09,13.2840155391064,0.563623348907637,
2010.10,13.3166949539907,0.568075929204195,
2010.11,13.3428987384466,0.572222520585972,
2010.12,13.3330701525688,0.576400005187046,
2011.01,13.259500754224,0.581098086892908,
2011.02,13.2567492467389,0.585717803891822,
2011.03,13.2867590836928,0.590286443871296,
2011.04,13.2839352128185,0.593946066508617,
2011.05,13.3289608178628,0.595786766438713,
2011.06,13.3401499223249,0.596709952250709,
2011.07,13.3433964757753,0.59829061272472,
2011.08,13.3485772653655,0.600982824784854,
2011.09,13.3030378874723,0.603868113706907,
2011.10,13.3436078018103,0.606736776677516,
2011.11,13.3673490492616,0.609830749841699,
2011.12,13.3672722537883,0.613062385762799,
2012.01,13.2979558123401,0.616157949683161,
2012.02,13.2945586019018,0.618190581193726,
2012.03,13.358275886551,0.620816394626611,
2012.04,13.3243737107737,0.623919559059791,
2012.05,13.3694610294951,0.625290960628171,
2012.06,13.3629938227908,0.626884527556822,
2012.07,13.3979126343786,0.629517775684424,
2012.08,13.405700227988,0.632602283851153,
2012.09,13.3350289196465,0.636271573282993,
2012.10,13.4005489346909,0.640057697356235,
2012.11,13.3963261891312,0.644506373516611,
2012.12,13.3866445952475,0.64982373885455,
2013.01,13.3577212789437,0.654566745594783,
2013.02,13.3142738045494,0.658068515861081,
2013.03,13.3788575372327,0.66142479777036,
2013.04,13.4006985128004,0.664466995750875,
2013.05,13.3980031872115,0.666560053690815,
2013.06,13.4051790961091,0.667526026611395,
2013.07,13.4384550444804,0.668426311622933,
2013.08,13.4232270022928,0.670397916031135,
2013.09,13.3870185097905,0.673481067546108,
2013.10,13.442057541529,0.677219070251298,
2013.11,13.4337720112149,0.682161806992035,
2013.12,13.4431858401704,0.687173976266981,
2014.01,13.3990934243925,0.691433783720864,
2014.02,13.3787705296873,0.696999453491408,
2014.03,13.3967185048409,0.702540304029218,
2014.04,13.4052813761103,0.706509106596784,
2014.05,13.4107130430799,0.709546803211364,
2014.06,13.3768338657267,0.711000384222505,
2014.07,13.4254698864087,0.711924835268365,
2014.08,13.4110749973398,0.714843006196355,
2014.09,13.4050215969092,0.718380889467986,
2014.10,13.4349990563752,0.721720927709635,
2014.11,13.4207965494795,0.726375138227613,
2014.12,13.4317411782398,0.733709257455025,
2015.01,13.3640869014335,0.742733276809752,
2015.02,13.3241208503141,0.752165809723319,
2015.03,13.4005652511871,0.759797293858748,
2015.04,13.3627077991951,0.765305570610444,
2015.05,13.3481272640474,0.771160171989687,
