Data,PIB - IPCA- 2021.11=1-0 - R$ - Banco Central do Brasil- Boletim- Seção Atividade Econômica (Bacen / Boletim / Ativ. Ec.) - BM12_PIB12,
2015.08,689068.152220393,0.714741638273359,
2015.09,689277.753830559,0.719600621438204,
2015.10,714459.059840418,0.726184226869327,
2015.11,700660.090915038,0.733336758668485,
2015.12,703857.416871229,0.74151197030788,
2016.01,654099.503815348,0.749555682492013,
2016.02,650744.971572033,0.754537831946425,
2016.03,681624.688035828,0.758461231047467,
2016.04,665231.505189134,0.763732168481035,
2016.05,668278.028788698,0.768044852425171,
2016.06,695448.938462647,0.771385604794928,
2016.07,687596.086593669,0.775088471838471,
2016.08,688148.37240866,0.777102470108626,
2016.09,655138.104310957,0.77842365852978,
2016.10,673167.358779906,0.780136905259103,
2016.11,692486.404497218,0.78200914340431,
2016.12,721044.668070126,0.78466775368343,
2017.01,668693.058353248,0.787453516112072,
2017.02,651002.3744944,0.789736750805696,
2017.03,687892.380144999,0.791276245690155,
2017.04,662295.979664883,0.793056452291567,
2017.05,691842.471427595,0.79337092281627,
2017.06,701766.532633132,0.793408596888841,
2017.07,701104.45148921,0.79511433541166,
2017.08,697520.581749115,0.796505098970443,
2017.09,662070.305377171,0.798814258402226,
2017.10,685251.388034885,0.801610488634334,
2017.11,703805.858944907,0.804496428672559,
2017.12,729339.529687316,0.807432993865657,
2018.01,686069.092150809,0.809895980385982,
2018.02,651718.035909006,0.811555720200824,
2018.03,689113.738772028,0.812813137346691,
2018.04,686051.088455653,0.815332574224401,
2018.05,665395.208805546,0.82209263421351,
2018.06,700801.277444621,0.828619779515011,
2018.07,702803.374438346,0.829612977407736,
2018.08,701079.542514237,0.831227649162457,
2018.09,666724.528072312,0.835092420568053,
2018.10,708038.912839702,0.836089499129017,
2018.11,710577.270424584,0.835837177348942,
2018.12,719926.588205328,0.837800978435285,
2019.01,687862.48173683,0.84094221644336,
2019.02,671454.009271499,0.845902313720996,
2019.03,680191.48524674,0.851484637138474,
2019.04,693905.049058443,0.854462726282977,
2019.05,707092.991765208,0.855060659688679,
2019.06,698997.741446283,0.855915498041673,
2019.07,731509.370878799,0.8571998185706,
2019.08,718551.10507523,0.857500038129494,
2019.09,716039.159657482,0.857757416918088,
