Mês,ipca
agosto 2015,4346.6500000000000
setembro 2015,4370.1200000000000
outubro 2015,4405.9500000000000
novembro 2015,4450.4500000000000
dezembro 2015,4493.1700000000000
janeiro 2016,4550.2300000000000
fevereiro 2016,4591.1800000000000
março 2016,4610.9200000000000
abril 2016,4639.0500000000000
maio 2016,4675.2300000000000
junho 2016,4691.5900000000000
julho 2016,4715.9900000000000
agosto 2016,4736.7400000000000
setembro 2016,4740.5300000000000
outubro 2016,4752.8600000000000
novembro 2016,4761.4200000000000
dezembro 2016,4775.7000000000000
janeiro 2017,4793.8500000000000
fevereiro 2017,4809.6700000000000
março 2017,4821.6900000000000
abril 2017,4828.4400000000000
maio 2017,4843.4100000000000
junho 2017,4832.2700000000000
julho 2017,4843.8700000000000
agosto 2017,4853.0700000000000
setembro 2017,4860.8300000000000
outubro 2017,4881.2500000000000
novembro 2017,4894.9200000000000
dezembro 2017,4916.4600000000000
janeiro 2018,4930.7200000000000
fevereiro 2018,4946.5000000000000
março 2018,4950.9500000000000
abril 2018,4961.8400000000000
maio 2018,4981.6900000000000
junho 2018,5044.4600000000000
julho 2018,5061.1100000000000
agosto 2018,5056.5600000000000
setembro 2018,5080.8300000000000
outubro 2018,5103.6900000000000
novembro 2018,5092.9700000000000
dezembro 2018,5100.6100000000000
janeiro 2019,5116.9300000000000
fevereiro 2019,5138.9300000000000
março 2019,5177.4700000000000
abril 2019,5206.9800000000000
maio 2019,5213.7500000000000
junho 2019,5214.2700000000000
julho 2019,5224.1800000000000
agosto 2019,5229.9300000000000
setembro 2019,5227.8400000000000
outubro 2019,5233.0700000000000
novembro 2019,5259.7600000000000
dezembro 2019,5320.2500000000000
janeiro 2020,5331.4200000000000
fevereiro 2020,5344.7500000000000
março 2020,5348.4900000000000
abril 2020,5331.9100000000000
maio 2020,5311.6500000000000
junho 2020,5325.4600000000000
