Data,Utilização da capacidade instalada - indústria - dessaz. - (%) - Confederação Nacional da Indústria - CNI12_NUCAPD12,
2019.06,77.6,
2019.07,77.8,
2019.08,77.7,
2019.09,77.9,
2019.10,78,
2019.11,78.3,
2019.12,77.8,
2020.01,78.2,
2020.02,78.8,
2020.03,76.2,
2020.04,69.6,
