DATE,POILAPSPUSDM
2008-01-01,90.7549275362319
2008-02-01,93.2106349206349
2008-03-01,101.705555555556
2008-04-01,108.758636363636
2008-05-01,122.699545454545
2008-06-01,131.521111111111
2008-07-01,133.00652173913
2008-08-01,114.567301587302
2008-09-01,99.8315151515151
2008-10-01,72.6927536231884
2008-11-01,53.9253333333333
2008-12-01,40.9030434782609
2009-01-01,43.6519696969697
2009-02-01,41.8163333333333
2009-03-01,46.7968181818182
2009-04-01,50.3869696969697
2009-05-01,58.184126984127
2009-06-01,69.149696969697
2009-07-01,64.7044927536232
2009-08-01,71.6296825396825
2009-09-01,68.324696969697
2009-10-01,74.080606060606
2009-11-01,77.5374603174603
2009-12-01,74.9231884057971
2010-01-01,77.1707936507936
2010-02-01,74.7215
2010-03-01,79.2976811594203
2010-04-01,84.1360606060606
2010-05-01,75.5374603174603
2010-06-01,74.725
2010-07-01,74.5156060606061
2010-08-01,75.88
2010-09-01,76.1110606060606
2010-10-01,81.7193650793651
2010-11-01,84.5345454545455
2010-12-01,90.0682608695652
2011-01-01,92.6638095238095
2011-02-01,97.732
2011-03-01,108.645217391304
2011-04-01,116.316984126984
2011-05-01,108.18303030303
2011-06-01,105.845454545455
2011-07-01,107.879365079365
2011-08-01,100.454782608696
2011-09-01,101.355151515152
2011-10-01,99.9198412698413
2011-11-01,105.362424242424
2011-12-01,104.263636363636
2012-01-01,106.89303030303
2012-02-01,112.70380952381
2012-03-01,117.785
2012-04-01,113.750793650794
2012-05-01,104.158115942029
2012-06-01,90.728253968254
2012-07-01,96.7504545454546
2012-08-01,105.280434782609
2012-09-01,106.317666666667
2012-10-01,103.388985507246
2012-11-01,101.165757575758
2012-12-01,101.166666666667
2013-01-01,105.041449275362
2013-02-01,107.657
2013-03-01,102.613492063492
2013-04-01,98.8519696969697
2013-05-01,99.3482608695652
2013-06-01,99.7426666666667
2013-07-01,105.207826086957
2013-08-01,108.058636363636
2013-09-01,108.78
2013-10-01,105.457971014493
2013-11-01,102.580952380952
2013-12-01,105.49303030303
2014-01-01,102.251884057971
2014-02-01,104.819333333333
2014-03-01,104.042857142857
2014-04-01,104.943787878788
2014-05-01,105.731212121212
2014-06-01,108.372698412698
2014-07-01,105.224782608696
2014-08-01,100.05253968254
2014-09-01,95.8912121212121
2014-10-01,86.1285507246377
2014-11-01,76.958
2014-12-01,60.5514492753623
2015-01-01,47.4518181818182
2015-02-01,54.9326666666667
2015-03-01,52.8280303030303
2015-04-01,57.4195454545455
2015-05-01,62.4995238095238
2015-06-01,61.3030303030303
2015-07-01,54.4311594202899
2015-08-01,45.7203174603175
2015-09-01,46.2868181818182
2015-10-01,46.9574242424242
2015-11-01,43.1309523809524
2015-12-01,36.5552173913043
2016-01-01,29.918253968254
2016-02-01,31.0538095238095
2016-03-01,37.3395652173913
2016-04-01,40.7493650793651
2016-05-01,45.9810606060606
