"date","ipca","igp","ipa","tradables","nontradables","monitorados","capacidade","pib","desemprego","comm","cambio","pimpf","pimpf.hiato","ipcaindice","pib.hiato","pibma7"
2004-04-01,0.676011523038839,313.992,345.483333333333,0.0522333385312724,0.0573417018792937,0.055706687486178,81.6,2.7,0.112037871014083,78.2027379454871,3.04436666666667,88.2641957500464,0.332810183616355,2292.31666666667,-0.0232937842626387,2.87142857142857
2004-07-01,0.694268599991776,325.754333333333,360.93,0.061578633508319,0.0697031531743788,0.0782752330496537,82.6333333333333,1.2,0.106700964053369,80.4255179123183,2.97613333333333,87.4958805959332,-0.826001786904589,2341.30666666667,-0.00749108448486546,3.07142857142857
2004-10-01,0.56544710253772,332.821666666667,370.367333333333,0.0611260398348063,0.0689054767986589,0.0912828666956378,82.5,0.9,0.108072668218889,84.2290786080111,2.7849,89.5725111150172,0.720347555772364,2379.85333333333,-0.00629949877289737,3.57142857142857
2005-01-01,0.494911519144048,338.315333333333,376.092666666667,0.0605290869286718,0.0661832135160851,0.102644878221234,82.5,0.8,0.109068259309012,89.1306082414428,2.66436666666667,88.9212031645719,-0.217225480067768,2427.25666666667,-0.0097129390654177,4.05714285714286
2005-04-01,0.571618796544559,343.682666666667,380.977333333333,0.0583057429053208,0.0681675187059572,0.11618363360843,82.1,1.3,0.105083808059262,93.7156566448581,2.48103333333333,89.5509913010418,-0.133977128894917,2470.99,-0.0100940340280229,4.61428571428571
2005-07-01,0.331883130193879,339.507,372.147333333333,0.0390144060272789,0.060797026595428,0.0951374794544595,81.4666666666667,-0.9,0.106826159452756,103.113224311667,2.34203333333333,90.626066904347,0.228600282656889,2486.58333333333,-0.0065170423311397,4.82857142857143
2005-10-01,0.458991769120852,339.836333333333,371.617333333333,0.0311978504225519,0.0637288383243265,0.0982951618199361,81.6333333333333,1.5,0.10943474660876,104.852211958197,2.25013333333333,90.7284445275199,-0.109133503104881,2524.73333333333,-0.0208372270173313,4.58571428571429
2006-01-01,0.372381209258105,343.566333333333,375.507666666667,0.0251822986553767,0.0592636394709567,0.0902073152649239,81.4666666666667,1.6,0.106825122623139,106.947416864732,2.19513333333333,91.3382843108472,-0.0535836479261415,2561.00333333333,-0.0195676149774254,4.3
2006-04-01,0.141219527654667,342.938666666667,373.058333333333,0.00729710412449684,0.0482176251418526,0.082546111096012,81.6666666666667,0.3,0.105422835676475,117.606113454144,2.18443333333333,92.3612491309029,-0.0654108814847187,2577.14333333333,-0.0119438373591957,3.68571428571429
2006-07-01,0.242850896085627,347.023333333333,379.041666666667,0.00611714730365365,0.0434730371163605,0.0717448357304575,81.8333333333333,1.5,0.106604427363609,118.912376468547,2.1705,94.1030195666198,0.101371082253209,2581.94666666667,-0.01706635796281,3.44285714285714
2006-10-01,0.2891926854761,351.839,385.976333333333,0.0107471141907557,0.0420599481425382,0.0436506162204651,82.0333333333333,1.4,0.101386504801977,113.264652473705,2.15123333333333,95.9315259895401,0.17155834372196,2604.04333333333,-0.0113980460062795,3.52857142857143
2007-01-01,0.308675893115771,356.631333333333,391.206,0.0116504928325492,0.0419840364940792,0.0358760722595919,82.4333333333333,2,0.100507179945483,115.74218424556,2.10703333333333,96.8932294775368,-0.550887378109631,2637.52,-0.012566073394526,3.62857142857143
2007-04-01,0.352821667095204,358.891333333333,392.470666666667,0.0226471483408796,0.0461776800529554,0.0290153952117684,82.5666666666667,1.2,0.101853075483118,126.760847979978,1.98103333333333,99.4930508852682,0.270856261340152,2661.93666666667,-0.00313065142533331,4.25714285714286
2007-07-01,0.404321464034805,363.457,397.489,0.0457003501303034,0.0510266753618533,0.0224216585708795,82.8333333333333,1.1,0.0998829645053443,128.982984867071,1.91533333333333,100.344316677632,-0.363242836351977,2685.79,0.0026527519787567,4.78571428571429
2007-10-01,0.401220382429646,375.436333333333,415.512,0.0443287726561245,0.0607649849747356,0.0200185790805922,83.6333333333333,1.8,0.0949162846878053,144.899291912662,1.78483333333333,101.43153159388,-0.351877844246365,2714.82,0.00342520967956639,5.11428571428571
