date,ipca,ipa,igp,capacidade,desemprego,comm,cambio,pimpf,ipcaindice,petro,gfc_dummy,pib,pib_hiato_real,pib_hiato_nom,pib_dessaz,pib_ipca,taxa_juros
2002-07-01,0.0100750073521522,0.03086773440611079,0.022392773437818647,80.9675511514499,0.113108273432062,56.4325260312108,2.9338,80.0638973898346,1888.23,25.75,0,43213,0.0015523222787727775,-0.14816712196496518,42111.8602523486,394065.637962779,0.024528969907852055
2002-08-01,0.00674509897792944,0.03295408462405458,0.023672385344330138,81.2909193189417,0.109392774951828,56.6805808487113,3.1093,79.1611883659053,1900.5,26.78,0,44146,0.01513801245853763,-0.13179139686469554,43069.8682653491,400717.29516486,0.022212189044211877
2002-09-01,0.00859174905581774,0.04698543094756946,0.03269129096107637,80.9352656240189,0.111548323317625,58.9262023415756,3.3412,81.1220269904885,1914.18,28.28,0,43665,0.01562568038010781,-0.1469154146495999,42696.7804217985,402190.975352664,0.02376055866688384
2002-10-01,0.0130460552923602,0.062007061165473054,0.04618623606893468,81.1915687976711,0.107621740578846,60.1042527078095,3.8051,82.3654311199523,1939.26,27.53,0,45256,1.0450621009105987e-4,-0.16989569540106508,42008.8274342248,397272.014263546,0.04169936322305662
2002-11-01,0.0294567886443653,0.057377336157398595,0.047541027174852424,80.9261050144526,0.10788154188599,58.0255435951159,3.5756,82.1910926035463,1997.83,24.79,0,44313,0.0030431899233924753,-0.1656649192954731,42485.6431180614,399738.05772275,0.05936167509940443
2002-12-01,0.0188136938979062,0.025624248199325628,0.022681937918182626,81.7807240865154,0.113237681120131,61.3321418800279,3.6251,80.8384407116068,2039.78,27.89,0,41939,-0.06162195037146567,-0.17136820043258183,42556.9557275478,375940.234341623,0.07826775405799294
2003-01-01,0.0200482920758107,0.02638665342474411,0.023863913489372557,80.4,0.109698313225279,65.3393453883986,3.4376,80.1605485146921,2085.68,30.7105797101449,0,36233,-0.05594715548658158,-0.2663152049849842,39001.7360012005,379338.579864304,0.09957353695507931
2003-02-01,0.0151998939942867,0.017231805033089742,0.015680208467169443,80.2,0.107964955400657,70.3454820826314,3.59,81.5536123695465,2118.43,32.9,0,36263,0.003557183539948383,-0.25132958439098907,39910.3202015467,403952.689974323,0.1068584284456528
2003-03-01,0.012332832313173,0.012366220304225628,0.012355898435429502,79.7,0.107823827767699,65.827640913317,3.4461,78.4235653121352,2144.49,30.3592063492064,0,40302,-0.006996933254237447,-0.23909349060471463,40741.6121413198,401075.41183688,0.11436770928610457
2003-04-01,0.00956772607522952,-0.004198880401817817,1.9398147027338553e-4,79.7,0.109859080752435,61.8662124815534,3.1179,79.3751603244627,2165.29,25.6309090909091,0,44825,-0.005379772577866149,-0.15081524689082926,44891.304639138,403112.416981696,0.1155277954814079
2003-05-01,0.00788873446589908,-0.014998108554818756,-0.005938563737479363,79.9,0.112533093319586,63.0610432878967,2.9549,78.0673263710562,2178.5,26.0751515151515,0,46994,-0.036276978359495615,-0.11653457307246029,46879.3624354332,392215.556232146,0.11657187154874599
2003-06-01,0.00140523956088333,-0.011359185639713054,-0.007335202018910358,79.4,0.116527615898639,64.3593301568151,2.8824,78.0587683889051,2175.23,27.9092063492064,0,47459,-0.05624948179406175,-0.1077414791494764,47739.5120174601,385822.825104867,0.11552623850815544
2003-07-01,0.00116076870790509,-9.43182086583505e-4,0.0020771801920869137,79.2,0.115180752851897,63.2848797556019,2.879,78.0000948937869,2179.58,28.5865217391304,0,49844,-0.04035054686037398,-0.10209377027147859,48478.9850037269,393414.391777377,0.10944751230331559
2003-08-01,0.00406627055376904,0.012550266471911264,0.009486892347625009,79.3,0.11667211697156,64.4368237581565,3.0017,79.0159843958831,2186.99,29.6755555555556,0,47746,-0.031999325259048916,-0.1424098330388528,47033.9720516327,398158.050249439,0.09203126689970861
2003-09-01,0.00900052682484777,0.007246567098293966,0.006655400761507835,79.7,0.116745818860355,64.4991290214764,2.922,82.3929859484591,2204.05,26.9321212121212,0,51113,0.001288150344761263,-0.09691070182371142,49737.2944785352,413153.667512946,0.06848648146645339
2003-10-01,0.00300074603177568,0.005241103772392286,0.004449534599953786,79.7,0.117685391965967,67.4547028213942,2.8607,83.4141481645841,2210.44,29.0144927536232,0,55022,-0.007666479534798043,-0.07972152399639576,51144.5860481093,411001.709184362,0.054896079829087646
2003-11-01,0.00290965665422655,0.0061873796706084505,0.005868569333729923,79.7,0.114068003028889,67.3819146237766,2.913,84.294878977242,2217.96,29.1,0,52848,-0.004713236537444487,-0.09057474635584484,51153.898174028,413779.365716938,0.04390893851133959
2003-12-01,0.00337061730529716,0.008805497136735951,0.007538764336470827,79.9,0.112704731974258,70.5063078649893,2.9245,82.6459116034426,2229.49,29.9457971014493,0,50816,-0.029768606235750283,-0.103217881177601,51087.9926592297,405090.385064405,0.031148114455838538
2004-01-01,0.00541888079114728,0.008335180138770326,0.007756330311098125,80.2,0.111439595443796,73.1233565839023,2.851,83.498108979363,2246.43,31.3056060606061,0,49797,-0.03171174828407253,-0.061446317846391096,53892.3719743286,405877.204655315,0.026503670103567634
2004-02-01,0.00548812447504804,0.012777497098788615,0.01048316074946154,80.4,0.110174971054656,72.8798439029803,2.9295,82.9039844955379,2260.13,31.3285,0,48225,-0.04555944253043087,-0.1204434491310149,51416.979052859,401873.67777582,0.027615418097372613
2004-03-01,0.00464210343920921,0.015401368238522117,0.01195052912664707,81.2,0.11373850013466,75.5326717866659,2.9047,86.1783232384212,2270.75,33.6650724637681,0,55204,0.002429608572516173,-0.0681109783723759,54848.8248444556,423313.534439176,0.027835525416109924
2004-04-01,0.00350477124750722,0.016068870535593582,0.012319562324111466,81.5,0.116938940884821,76.4752780606294,2.9052,85.4080179958509,2279.15,33.7218181818182,0,54683,0.0032008200458850666,-0.08351770741591125,54693.8305749233,425354.087151608,0.026783083504361704
2004-05-01,0.00636885066189444,0.017509479593442734,0.014877384788547943,81.3,0.109968333477629,79.7446991672955,3.0996,86.8643378217427,2290.77,37.4930158730159,0,51592,0.0055858306421789905,-0.14855523307304708,51913.6001159651,428116.751703324,0.026240513543919236
2004-06-01,0.00961105043741723,0.015304166182964707,0.013033128783770387,82,0.109279126689549,78.3882366085363,3.1283,86.3861319106738,2307.03,35.5495454545455,0,51909,0.0068249097767338895,-0.1630079257733339,51846.0677222613,430425.944170876,0.02784414182988193
2004-07-01,0.00858091360200859,0.00922295465773626,0.008393488256202453,82.6,0.106040846985955,79.7234853285602,3.036,87.1624490949088,2328.02,37.8554545454545,0,55343,0.014083023744344558,-0.13205505075671908,54198.8019906149,435382.505163259,0.028913094125323918
2004-08-01,0.00766788993479939,0.01589318110013682,0.012442899650989325,82.5,0.108001614061092,80.9604271813244,3.0021,88.0948800689577,2344.08,42.0774242424242,0,55908,-8.305436347377793e-5,-0.1367339635983047,54689.6246261894,431083.494966484,0.0311179399973531
2004-09-01,0.00444507123179805,0.0024949853935156696,0.002338054476410001,82.8,0.105730053814752,80.5926412270702,2.8903,89.2646281834624,2351.82,41.5677272727273,0,58359,-0.008703544111348549,-0.10910331364858372,57011.7174369206,429222.598411548,0.034773009751794176
2004-10-01,0.00440089337659369,0.010128687818912852,0.008247058935171303,82.6,0.103850557787028,86.3939112683085,2.8521,88.9472594654445,2362.17,46.8652380952381,0,61003,-0.010312946211442409,-0.11018180938046207,57764.7390536277,430398.780748606,0.039268448932847824
2004-11-01,0.00637122351856301,0.008754472754493925,0.0076490905895605366,82.3,0.109708507504972,83.7253832062406,2.7852,88.8691884182813,2378.47,42.1198484848485,0,63719,-0.002354659482096011,-0.07385192538781205,60773.0343677034,435749.703439091,0.046091663185079956
2004-12-01,0.00697954154446809,0.002711791804008712,0.00422731722273717,82.6,0.110353440697201,82.5679413494841,2.7174,90.0901260416287,2398.92,39.0502898550725,0,63597,-0.004583734754460167,-0.038343386548021385,63899.9707353258,436718.186801444,0.0528563560225532
2005-01-01,0.00390757923155947,0.0016794898299874461,0.003135867318542651,82.6,0.10838833842351,85.426576137206,2.6922,90.0554291639056,2412.83,43.0107936507936,0,59732,-0.021656535708444835,-0.035772720392049706,65024.7979800679,431262.139141912,0.058501151409402194
2005-02-01,0.00521494461048102,0.006957089903231406,0.006654028161238834,82.4,0.109273107986826,87.4442907365214,2.597,87.5478806196381,2427.07,44.3765,0,61217,-0.02228765441555325,-0.020593030013396074,67022.6614013522,432956.568890689,0.06527106648697653
2005-03-01,0.0058858696244007,0.014234928885263898,0.011649482204144412,82.5,0.110092665556088,94.520957850601,2.7039,88.8372746957594,2441.87,50.9179710144928,0,65406,-0.015585607851647865,-0.0672695012291058,64950.6732944388,437879.326382488,0.07161336341907008
2005-04-01,0.00831968534757019,-0.0042728127674740435,-3.196257473359054e-5,82.5,0.108317698342508,94.0729819516697,2.5784,88.9403875267926,2463.11,50.6404761904762,0,68474,0.003848247664301141,-0.02224897558212291,68999.6779538309,448555.460897526,0.07640343697339244
2005-05-01,0.00582433295411079,-0.01108164216974128,-0.004087996492218693,81.8,0.105465311354501,91.6042781847429,2.452,89.7866534883105,2475.18,47.8792424242424,0,72055,-0.023327657850739314,0.003149483212308013,71888.8074885293,438588.856266933,0.08064287400657713
2005-06-01,0.00225953831400778,-0.006397080443553804,-0.003715210750846687,82,0.101464932490395,95.4697097981618,2.4127,91.1315553152545,2474.68,53.8906060606061,0,73779,-0.023859963715532118,0.012253964008953844,73699.793592631,440445.491616235,0.08339902544394555
2005-07-01,0.00255193721192535,-0.007785700869106904,-0.0052175282455309,81.7,0.104132469681073,97.8478711178076,2.3727,89.0675666014541,2480.87,56.3671428571429,0,75917,-0.020876158134083056,0.011396491751277438,74818.0882363899,443890.18987262,0.08452272850101257
